Date,Coin,Type,Amount,Fee,Available,
2023-12-29 23:42:47,TET,Buy,0.6,-0.0006,63.1368,
2023-12-29 23:42:47,TET,Buy,27,-0.027,90.1098,
2023-12-29 23:42:47,TET,Buy,4.4,-0.0044,94.5054,
2023-12-29 23:42:47,TET,Buy,3.6,-0.0036,98.1018,
2023-12-29 23:42:47,USDT,Sell,-12.4404,0,1112.94308635888,
2023-12-29 23:42:47,USDT,Sell,-559.8207,0,553.12238635888,
2023-12-29 23:42:47,USDT,Sell,-74.64816,0,387.24330635888,
2023-12-29 23:42:47,USDT,Sell,-91.23092,0,461.89146635888,
2023-12-29 23:42:32,TET,Buy,12.9,-0.0129,62.5374,
2023-12-29 23:42:32,USDT,Sell,-264.45,0,1125.38348635888,
2023-12-29 23:42:10,USDT,Sell,-43.05,0,1389.83348635888,
2023-12-29 23:42:10,TET,Buy,2.1,-0.0021,49.6503,
2023-12-29 23:42:09,USDT,Sell,-10.25,0,1432.88348635888,
2023-12-29 23:42:09,TET,Buy,0.5,-0.0005,47.5524,
2023-12-29 23:42:06,AMP,Buy,13814,-13.814,13800.186,
2023-12-29 23:42:06,USDT,Sell,-375.665138091,0,1443.13348635888,
2023-12-29 23:42:06,AMP,Buy,35921.967,-35.921967,274819.146759,
2023-12-29 23:42:06,USDT,Sell,-647.614932,0,1818.79862444988,
2023-12-29 23:42:06,USDT,Sell,-50.186262,0,3416.46168214488,
2023-12-29 23:42:06,AMP,Buy,1376.274,-1.376274,15175.083726,
2023-12-29 23:42:06,USDT,Sell,-814.398552,0,2597.06175042888,
2023-12-29 23:42:06,AMP,Buy,103233.069,-103.233069,555784.96869,
2023-12-29 23:42:06,AMP,Buy,223982,-223.982,238933.101726,
2023-12-29 23:42:06,USDT,Sell,-5.001379716,0,3411.46030242888,
2023-12-29 23:42:06,AMP,Buy,178014,-178.014,452655.132759,
2023-12-29 23:42:06,USDT,Sell,-130.648193979,0,2466.41355644988,
2023-12-29 23:41:35,TET,Buy,1.9,-0.0019,47.0529,
2023-12-29 23:41:35,USDT,Sell,-38.95,0,3466.64794414488,
2023-12-29 23:41:21,TET,Buy,1.9,-0.0019,45.1548,
2023-12-29 23:41:21,USDT,Sell,-38.95,0,3505.59794414488,
2023-12-29 23:41:21,TET,Buy,5.1,-0.0051,43.2567,
2023-12-29 23:41:21,USDT,Sell,-104.55,0,3544.54794414488,
2023-12-29 23:40:38,USDT,Sell,-55.35,0,3649.09794414488,
2023-12-29 23:40:38,TET,Buy,2.7,-0.0027,38.1618,
2023-12-29 23:38:38,QNT,Buy,1.1274,-0.0011274,8.4078837,
2023-12-29 23:38:38,USDT,Sell,-15.0379875,0,4781.26996374488,
2023-12-29 23:38:38,QNT,Buy,0.8487,-0.0008487,6.8036895,
2023-12-29 23:38:38,USDT,Sell,-5.0110875,0,5545.52287234488,
2023-12-29 23:38:38,USDT,Sell,-5.01105,0,5550.53395984488,
2023-12-29 23:38:38,USDT,Sell,-5.010975,0,5555.54500984488,
2023-12-29 23:38:38,QNT,Buy,0.0375,-0.0000375,1.5688296,
2023-12-29 23:38:38,USDT,Sell,-48.9094871,0,4796.30795124488,
2023-12-29 23:38:38,USDT,Sell,-13.8599198,0,4958.65043684488,
2023-12-29 23:38:38,QNT,Buy,4.2877,-0.0042877,5.8522419,
2023-12-29 23:38:38,QNT,Buy,0.0375,-0.0000375,1.4564421,
2023-12-29 23:38:38,USDT,Sell,-7.655853,0,5565.56658484488,
2023-12-29 23:38:38,QNT,Buy,0.0375,-0.0000375,1.5313671,
2023-12-29 23:38:38,USDT,Sell,-5.0106,0,5560.55598484488,
2023-12-29 23:38:38,USDT,Sell,-150.7018128,0,4630.56815094488,
2023-12-29 23:38:38,USDT,Sell,-926.1202068,0,3704.44794414488,
2023-12-29 23:38:38,QNT,Buy,1.1691,-0.0011691,1.1679309,
2023-12-29 23:38:38,QNT,Buy,0.1125,-0.0001125,7.2816111,
2023-12-29 23:38:38,USDT,Sell,-5.010075,0,5589.12178984488,
2023-12-29 23:38:38,QNT,Buy,0.3659,-0.0003659,7.1692236,
2023-12-29 23:38:38,QNT,Buy,0.119,-0.000119,1.3617369,
2023-12-29 23:38:38,QNT,Buy,0.0375,-0.0000375,1.2428559,
2023-12-29 23:38:38,USDT,Sell,-5.0096625,0,5594.13186484488,
2023-12-29 23:38:38,USDT,Sell,-113.4329985,0,4845.21743834488,
2023-12-29 23:38:38,QNT,Buy,0.1037,-0.0001037,5.9558382,
2023-12-29 23:38:38,USDT,Sell,-573.0125157,0,4972.51035664488,
2023-12-29 23:38:38,USDT,Sell,-156.1660398,0,5599.14152734488,
2023-12-29 23:38:38,QNT,Buy,6.9282,-0.0069282,15.3291555,
2023-12-29 23:38:38,QNT,Buy,0.0375,-0.0000375,1.2053934,
2023-12-29 23:38:38,USDT,Sell,-15.899352,0,5573.22243784488,
2023-12-29 23:38:38,QNT,Buy,0.0375,-0.0000375,1.4939046,
2023-12-29 23:38:38,QNT,Buy,0.0573,-0.0000573,1.4189796,
2023-12-29 23:35:35,COQ,Buy,63853402.27,-63853.40227,2384824194.00459,
2023-12-29 23:35:35,USDT,Sell,-150.5821815117,0,5864.49688502658,
2023-12-29 23:35:35,COQ,Buy,88059755.27,-88059.75527,2321034645.13686,
2023-12-29 23:35:35,USDT,Sell,-109.1893178817,0,5755.30756714488,
2023-12-29 23:35:35,COQ,Buy,84053349.98,-84053.34998,2233062949.62213,
2023-12-29 23:35:35,COQ,Buy,111757170.2,-111757.1702,2043697559.11758,
2023-12-29 23:35:35,COQ,Buy,16985540.57,-16985.54057,1932052146.08778,
2023-12-29 23:35:35,COQ,Buy,30734932.68,-30734.93268,2074401756.8649,
2023-12-29 23:35:35,USDT,Sell,-143.7312284658,0,6015.07906653828,
2023-12-29 23:35:35,USDT,Sell,-191.104761042,0,6339.21802325778,
2023-12-29 23:35:35,USDT,Sell,-127.8509933709,0,6158.81029500408,
2023-12-29 23:35:35,USDT,Sell,-29.0452743747,0,6530.32278429978,
2023-12-29 23:35:35,COQ,Buy,74766662.79,-74766.66279,2149093652.99211,
2023-12-29 23:35:35,USDT,Sell,-52.5567348828,0,6286.66128837498,
2023-12-29 23:35:35,COQ,Buy,57659900.88,-57659.90088,1915083591.05835,
2023-12-29 23:35:35,USDT,Sell,-98.5984305048,0,6559.36805867448,
2023-12-29 23:35:35,USDT,Sell,-155.6309321271,0,6657.96648917928,
2023-12-29 23:35:35,COQ,Buy,91012241.01,-91012.24101,1857481350.07923,
2023-12-29 23:35:35,COQ,Buy,38796869.48,-38796.86948,1499513824.22094,
2023-12-29 23:35:35,COQ,Buy,111757170.2,-111757.1702,1611159237.25074,
2023-12-29 23:35:35,USDT,Sell,-66.3426468108,0,7270.70369560338,
2023-12-29 23:35:35,COQ,Buy,111757170.2,-111757.1702,1722804650.28054,
2023-12-29 23:35:35,COQ,Buy,43799270.3,-43799.2703,1766560121.31024,
